field_id,date_of_image,latitude,longitude,NDVI,GNDVI,NDWI,SAVI,soil_moisture,temperature,rainfall,crop_type,yield,Unnamed: 13,Unnamed: 14
Field_1,01-01-2023,22.62523109,88.49792521,0.060189961,0.084800905,-0.084800905,0.09027956,46.11935326,9.884228735,1.662354196,Rice,40.21803063,,
Field_1,16-01-2023,22.62523109,88.49792521,0.21395714,0.222008568,-0.222008568,0.320895526,37.54252546,13.96707263,8.446302193,Rice,30.8703379,,
Field_1,31-01-2023,22.62523109,88.49792521,0.403306358,0.431204267,-0.431204267,0.604837027,24.92627906,13.59014742,3.862833237,Rice,45.33005008,,
Field_1,15-02-2023,22.62523109,88.49792521,0.418186528,0.444132119,-0.444132119,0.627143696,24.1141571,12.34335542,16.62354196,Rice,49.71178105,,
Field_1,03-02-2023,22.62523109,88.49792521,0.375137647,0.387985002,-0.387985002,0.562590743,27.42092711,11.00770651,9.496210107,Rice,34.54264576,,
Field_1,17-03-2023,22.62523109,88.49792521,0.450441814,0.414487963,-0.414487963,0.675558913,25.29849811,29.05703078,11.03814476,Rice,48.32423291,,
Field_1,04-01-2023,22.62523109,88.49792521,0.511422904,0.467237584,-0.467237584,0.767016104,21.98207972,14.59747283,17.52762933,Rice,53.44668506,,
Field_1,16-04-2023,22.62523109,88.49792521,0.478374933,0.470818651,-0.470818651,0.717455656,22.13672953,26.89658942,16.57368075,Rice,51.58966574,,
Field_1,05-01-2023,22.62523109,88.49792521,0.499145315,0.455278622,-0.455278622,0.748619438,22.71814608,11.23455428,16.86155872,Rice,52.78942541,,
Field_1,31-05-2023,22.62523109,88.49792521,0.495261375,0.467180972,-0.467180972,0.742791982,22.15002624,28.76547304,10.38336348,Rice,38.43404016,,
Field_1,13-10-2023,22.62523109,88.49792521,0.440812789,0.368312131,-0.368312131,0.661123118,27.75477796,13.70434524,16.87002572,Rice,51.90264653,,
Field_1,28-10-2023,22.62523109,88.49792521,0.597514171,0.534746658,-0.534746658,0.896115678,17.65553208,29.52973786,17.38086801,Rice,55.62711785,,
Field_1,11-12-2023,22.62523109,88.49792521,0.529307362,0.504987883,-0.504987883,0.793833125,19.87173275,12.30010937,10.59880157,Rice,39.26865558,,
Field_1,27-11-2023,22.62523109,88.49792521,0.422288701,0.408978993,-0.408978993,0.633314128,25.86733441,27.22968767,16.87002572,Rice,50.55682916,,
Field_1,12-12-2023,22.62523109,88.49792521,0.501731263,0.482503444,-0.482503444,0.752461793,21.30151768,8.42731778,10.40500137,Rice,38.45490555,,
Field_1,27-12-2023,22.62523109,88.49792521,0.445926395,0.430894417,-0.430894417,0.668751365,24.50682826,14.34964174,16.74302073,Rice,51.04716572,,
Field_2,16-01-2023,25.37877892,83.01640486,0.279167432,0.306950665,-0.306950665,0.418697274,32.53902625,10.48604637,15.38547851,Rice,45.79952126,,
Field_2,31-01-2023,25.37877892,83.01640486,0.352304075,0.389930306,-0.389930306,0.528385528,27.55478778,7.15824618,15.79471681,Rice,47.55221364,,
Field_2,15-02-2023,25.37877892,83.01640486,0.29743809,0.355413734,-0.355413734,0.446096683,29.87769423,5.360588605,15.70346137,Rice,45.92471357,,
Field_2,03-02-2023,25.37877892,83.01640486,0.304836525,0.359751296,-0.359751296,0.457197543,29.58064007,10.31998996,15.43910284,Rice,45.99774242,,
Field_2,17-03-2023,25.37877892,83.01640486,0.295018731,0.332646295,-0.332646295,0.442473412,31.06500775,24.80185578,15.61220594,Rice,46.13336743,,
Field_2,04-01-2023,25.37877892,83.01640486,0.324332121,0.35809538,-0.35809538,0.486441933,29.46609228,10.67081945,15.23119097,Rice,46.65500206,,
Field_2,16-04-2023,25.37877892,83.01640486,0.252393581,0.309416917,-0.309416917,0.378549041,32.68652662,24.46960053,8.583655738,Rice,30.98509753,,
Field_2,05-01-2023,25.37877892,83.01640486,0.344011696,0.374978269,-0.374978269,0.515963778,28.40299316,8.004618748,5.360551336,Rice,43.92163656,,
Field_2,16-05-2023,25.37877892,83.01640486,0.270803683,0.323778439,-0.323778439,0.40616568,31.76514447,11.70462216,8.714423838,Rice,31.46500139,,
Field_2,31-05-2023,25.37877892,83.01640486,0.273582639,0.322623657,-0.322623657,0.410334609,31.79573154,26.50252718,8.741706391,Rice,31.59019371,,
Field_2,15-06-2023,25.37877892,83.01640486,0.217566921,0.278929406,-0.278929406,0.326318825,34.59903245,26.13669465,8.344698202,Rice,30.11918403,,
Field_2,29-08-2023,25.37877892,83.01640486,0.49578519,0.463494309,-0.463494309,0.743597596,22.33293371,29.83822159,17.43072923,Rice,52.85202157,,
Field_2,28-09-2023,25.37877892,83.01640486,0.503070062,0.463745393,-0.463745393,0.754498653,22.24571278,24.13354742,16.67528474,Rice,52.70596387,,
Field_2,13-10-2023,25.37877892,83.01640486,0.452847953,0.430412376,-0.430412376,0.679185892,24.46075439,26.78854948,10.09078161,Rice,37.20298242,,
Field_2,28-10-2023,25.37877892,83.01640486,0.455247558,0.476415369,-0.476415369,0.682780213,22.08713363,18.24981266,16.86155872,Rice,50.76548302,,
Field_2,11-12-2023,25.37877892,83.01640486,0.247056058,0.257977873,-0.257977873,0.370542166,35.36774049,13.18674182,14.82289345,Rice,45.0170693,,
Field_2,27-11-2023,25.37877892,83.01640486,0.337730048,0.382477812,-0.382477812,0.506526803,28.0841874,10.67075885,15.44004362,Rice,46.90538669,,
Field_2,12-12-2023,25.37877892,83.01640486,0.360501065,0.372626558,-0.372626558,0.540676456,28.35467794,7.3110801,9.401191559,Rice,34.16706882,,
Field_2,27-12-2023,25.37877892,83.01640486,0.215816487,0.202356223,-0.202356223,0.323684648,38.52707084,14.29143827,14.9216751,Rice,44.7353866,,
Field_3,31-01-2023,30.87054253,76.70892965,0.571595188,0.562519363,-0.562519363,0.857198033,16.50204369,2.422129317,10.84152222,Rice,40.13456908,,
Field_3,15-02-2023,30.87054253,76.70892965,0.580707805,0.575482841,-0.575482841,0.870934313,15.7470058,2.147650438,10.89232421,Rice,40.31192486,,
Field_3,03-02-2023,30.87054253,76.70892965,0.552035182,0.563190616,-0.563190616,0.827936744,16.66753044,4.327139258,10.66465601,Rice,39.27908828,,
Field_3,17-03-2023,30.87054253,76.70892965,0.494979622,0.505945179,-0.505945179,0.742362936,20.17343393,14.52483839,9.458578999,Rice,47.72956942,,
Field_3,04-01-2023,30.87054253,76.70892965,0.493499523,0.509222173,-0.509222173,0.740142427,20.02121235,-4.031876022,16.97445205,Rice,51.78788691,,
Field_3,16-04-2023,30.87054253,76.70892965,0.43457814,0.487439739,-0.487439739,0.651782045,21.73527529,19.51012847,9.79349586,Rice,35.43985734,,
Field_3,05-01-2023,30.87054253,76.70892965,0.459964401,0.477072122,-0.477072122,0.689855956,22.00542446,-2.719074593,16.55392441,Rice,50.76548302,,
Field_3,16-05-2023,30.87054253,76.70892965,0.388666075,0.43761347,-0.43761347,0.58292577,24.7485165,10.02258994,16.38740676,Rice,48.54331946,,
Field_3,31-05-2023,30.87054253,76.70892965,0.469629868,0.47354799,-0.47354799,0.704355897,22.08666981,3.652494779,16.3563611,Rice,51.08889649,,
Field_3,15-06-2023,30.87054253,76.70892965,0.36846311,0.407328473,-0.407328473,0.552631019,26.50133112,19.33520352,16.4109262,Rice,48.25120406,,
Field_3,29-08-2023,30.87054253,76.70892965,0.636849077,0.591058351,-0.591058351,0.955152046,14.37828846,22.92156592,11.3570684,Rice,42.49235765,,
Field_3,13-09-2023,30.87054253,76.70892965,0.636849077,0.591058351,-0.591058351,0.955152046,14.37828846,20.48778906,17.87101319,Rice,56.54519481,,
Field_3,28-09-2023,30.87054253,76.70892965,0.440759004,0.395855522,-0.395855522,0.660990988,26.34884128,9.582822325,10.06443984,Rice,37.26557857,,
Field_3,13-10-2023,30.87054253,76.70892965,0.552620925,0.551182759,-0.551182759,0.828819983,17.274722,8.70154737,10.69852401,Rice,39.50860752,,
Field_3,28-10-2023,30.87054253,76.70892965,0.434841605,0.465852226,-0.465852226,0.652167819,22.83493734,3.707944027,9.846179411,Rice,35.81543428,,
Field_3,11-12-2023,30.87054253,76.70892965,0.404213863,0.446519545,-0.446519545,0.606221769,24.13494577,1.29060563,9.618511208,Rice,34.81389577,,
Field_3,27-11-2023,30.87054253,76.70892965,0.397641379,0.414411108,-0.414411108,0.596365833,25.84166687,0.271629576,5.259888122,Rice,45.38221355,,
Field_3,12-12-2023,30.87054253,76.70892965,0.469473199,0.474404518,-0.474404518,0.704094713,22.0445318,1.663050003,10.13593894,Rice,37.18211703,,
Field_3,27-12-2023,30.87054253,76.70892965,0.464178676,0.467725406,-0.467725406,0.696159946,22.43966876,-0.664619247,10.1039525,Rice,37.06735741,,
Field_4,16-01-2023,26.84068688,81.06703001,0.285574164,0.27781772,-0.27781772,0.428297001,33.96125062,9.828339601,13.93009541,Wheat,45.69519433,,
Field_4,31-01-2023,26.84068688,81.06703001,0.361356433,0.354951102,-0.354951102,0.541946139,29.24852825,5.982979369,6.628719676,Wheat,34.4800496,,
Field_4,15-02-2023,26.84068688,81.06703001,0.368845325,0.387953407,-0.387953407,0.553180797,27.48680321,5.691287543,6.617430344,Wheat,34.25053036,,
Field_4,03-02-2023,26.84068688,81.06703001,0.348017549,0.382637822,-0.382637822,0.521948306,27.97095166,14.82789047,6.444327247,Wheat,33.53067456,,
Field_4,17-03-2023,26.84068688,81.06703001,0.36132531,0.377010291,-0.377010291,0.541908821,28.12240746,28.98050161,12.58290174,Wheat,46.3211559,,
Field_4,04-01-2023,26.84068688,81.06703001,0.363464027,0.367479258,-0.367479258,0.545118851,28.58726122,11.62770983,6.617430344,Wheat,34.36528998,,
Field_4,16-04-2023,26.84068688,81.06703001,0.33876942,0.369898786,-0.369898786,0.508085762,28.71591248,28.18958034,6.391643696,Wheat,33.37418417,,
Field_4,05-01-2023,26.84068688,81.06703001,0.310696603,0.347589415,-0.347589415,0.465985799,30.14183059,9.598223578,13.94985174,Wheat,45.5908674,,
Field_4,16-05-2023,26.84068688,81.06703001,0.361525528,0.407964077,-0.407964077,0.542220902,26.53972708,20.727333,6.505477798,Wheat,33.65586687,,
Field_4,31-05-2023,26.84068688,81.06703001,0.339417781,0.363415841,-0.363415841,0.509066246,29.04033834,15.40347099,6.412340805,Wheat,33.49937648,,
Field_4,15-06-2023,26.84068688,81.06703001,0.308113534,0.343466242,-0.343466242,0.462112145,30.3787584,27.66737007,6.179027936,Wheat,32.6021649,,
Field_4,29-08-2023,26.84068688,81.06703001,-0.054491711,-0.087387553,0.087387553,-0.081735954,56.083278,31.11896722,11.62989393,Wheat,44.50586735,,
Field_4,28-09-2023,26.84068688,81.06703001,0.540294332,0.494842235,-0.494842235,0.81034134,20.27760532,13.10162185,7.898769572,Wheat,39.19562673,,
Field_4,13-10-2023,26.84068688,81.06703001,0.473218987,0.419774083,-0.419774083,0.709739145,24.7959453,12.2937533,7.475419607,Wheat,37.77678052,,
Field_4,28-10-2023,26.84068688,81.06703001,0.471033862,0.432737849,-0.432737849,0.70645046,24.15627516,27.66481088,14.70341468,Wheat,50.85937725,,
Field_4,11-12-2023,26.84068688,81.06703001,0.395130616,0.405719765,-0.405719765,0.59261478,26.31112693,6.843965232,13.92821385,Wheat,47.92779058,,
Field_4,27-11-2023,26.84068688,81.06703001,0.451315361,0.461276553,-0.461276553,0.676893317,22.90034679,20.46887335,14.43058914,Wheat,49.50312719,,
Field_4,12-12-2023,26.84068688,81.06703001,0.442887424,0.428384689,-0.428384689,0.66422967,24.66602259,8.7308595,7.18377852,Wheat,36.47269392,,
Field_4,27-12-2023,26.84068688,81.06703001,0.390137609,0.38570617,-0.38570617,0.585112429,27.38410152,5.438815589,14.790907,Wheat,48.52245407,,
Field_5,16-01-2023,30.69708764,76.51908279,0.681930027,0.597563212,-0.597563212,1.022754595,13.58571574,0.284146544,8.92233571,Wheat,43.05572306,,
Field_5,31-01-2023,30.69708764,76.51908279,0.221669646,0.162288834,-0.162288834,0.332488855,40.51330923,-4.07563896,13.56131055,Wheat,44.82928083,,
Field_5,15-02-2023,30.69708764,76.51908279,0.756505157,0.713038811,-0.713038811,1.134633243,6.92740058,0.336860282,9.317462344,Wheat,43.84860771,,
Field_5,03-02-2023,30.69708764,76.51908279,0.738419022,0.677332916,-0.677332916,1.107502851,8.935411027,-0.102234748,9.240318572,Wheat,43.98423272,,
Field_5,17-03-2023,30.69708764,76.51908279,0.684957023,0.617732385,-0.617732385,1.027327384,12.52487532,1.158586148,12.11721678,Wheat,54.79250243,,
Field_5,04-01-2023,30.69708764,76.51908279,0.40118289,0.427307098,-0.427307098,0.601705108,25.14697222,4.379422078,8.771811278,Wheat,45.3091847,,
Field_5,16-04-2023,30.69708764,76.51908279,0.251579002,0.384244965,-0.384244965,0.377323216,28.87379864,20.22662851,5.577870985,Wheat,29.77490516,,
Field_5,05-01-2023,30.69708764,76.51908279,0.224677901,0.324703067,-0.324703067,0.336977743,32.18900573,3.425364608,13.13796058,Wheat,42.17937687,,
